threads,total_sum,row_size,column_size,time
1,1100,10,10,4e-07
1,11000000,10,100000,0.0020437
1,11000,100,10,2.3000000000000004e-06
1,110000000,100,100000,0.0204482
1,110000,1000,10,2.06e-05
1,1100000000,1000,100000,0.2039221
2,1100,10,10,4e-07
2,11000000,10,100000,0.0010461
2,11000,100,10,1.2999999999999998e-06
2,110000000,100,100000,0.010494800000000002
2,110000,1000,10,1.21e-05
2,1100000000,1000,100000,0.1048635
3,1100,10,10,4e-07
3,11000000,10,100000,0.0008590000000000001
3,11000,100,10,1.0000000000000002e-06
3,110000000,100,100000,0.007312299999999999
3,110000,1000,10,8.200000000000001e-06
3,1100000000,1000,100000,0.07149910000000001
4,1100,10,10,6.999999999999999e-07
4,11000000,10,100000,0.0006505
4,11000,100,10,1.0000000000000002e-06
4,110000000,100,100000,0.0053938
4,110000,1000,10,5.799999999999999e-06
4,1100000000,1000,100000,0.053863400000000006
8,1100,10,10,8e-07
8,11000000,10,100000,0.00043230000000000005
8,11000,100,10,1.0000000000000002e-06
8,110000000,100,100000,0.0028268
8,110000,1000,10,4.2999999999999995e-06
8,1100000000,1000,100000,0.0273064
